ticker,cur_mkt_cap,sales_rev_turn,is_comp_sales,is_cogs_to_fe_and_pp_and_g,gross_profit,is_tot_oper_exp,is_oper_inc,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,ebitda,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,earn_for_common,is_comp_net_income_gaap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,cf_cash_from_oper,capital_expend,cf_free_cash_flow,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,estimate_comparable_fcf,bs_cash_near_cash_item,cb_cf_net_cash_investing_act,cb_cf_net_cash_investing_act,bs_pfd_eqy,minority_noncontrolling_interest,bs_tot_cap
CBOE UF Equity,13334.52907,1675.1,1675.1,,,1215.4,459.7,1062,52.4,164.1,653,1106.2,54.4,2.6,0.6,1014.4,166.1,241.6,240.2,380.7,0,2009.8,106.1,-46.1,60,1897,7297.4,1545.2,4003.6,3293.8,-960.8,178.8,60,353.3,-960.8,-960.8,0,0,5303.6
CBRE UN Equity,22553.98706,31183.974,31184.15,24324.923,6859.051,29575.441,1860.475,1951.147,-654.184,615.671,2476.146,3245.068,66.737,0,-165.748,2514.659,483.918,2018.25,2018.619,1125.011,703.817,4323.038,1978.866,-249.438,1729.428,8589.957,20215.33,7755.653,11575.686,8639.644,-1329.24,-2302.697,1729.428,1125.011,-1329.24,-1329.24,0,703.817,12962.682
CCI UN Equity,56374.1856,6876,6876,,,,2335,2370,706,1691,4026,4234,670,,36,1665,15,1614,1614,174,0,27768,2772,-1258,1514,,38861,,31182,7679,-1367,-1598,1514,174,-1367,-1367,0,0,35447
CCL UN Equity,11209.72926,9616,9616,1238,8378,,-5136,,1966,2259,-2877,-2560,1508,35,493,-6727,13,-7115,-7115,7071,0,35285,-1921,-4246,-6167,8432,51917,12955,43538,8379,-3475,5175,-6167,7071,-3475,-3475,0,0,43664
CDAY UN Equity,8956.116906,1192.2,1192.2,750.2,442,,-26.5,91.8,44.4,82.6,65.1,221.4,30.3,0,0.4,1.7,6.8,-77.7,-77.7,408.4,0,1261.4,90.7,-14.6,76.1,5007.2,8006.4,4675.7,5955.2,2051.2,-495.6,-808.7,76.1,408.4,-495.6,-495.6,0,0,3312.6
CDNS UW Equity,40768.84258,3434.877,3434.877,347.801,3087.076,2376.628,1058.249,1295.817,29.357,133.524,1191.773,1290.571,18.103,0,11.254,1105.52,243.753,785.139,785.139,1026.051,0,797.799,1194.116,-101.616,1092.5,1670.483,4968.087,1256.994,2259.959,2708.128,-697.537,-484.347,1095,1026.051,-697.537,-697.537,0,0,3505.927
CDW UW Equity,23757.05578,23847.3,23847.3,19366.2,4481.1,,1627.9,1951.9,234,269.3,1897.2,2102.6,,,14.3,1723.5,351.3,1042.6,1042.6,384.6,0,6337.8,1241.9,-131,1110.9,6895.2,13475.6,5358.8,12149.6,1326,-2524.9,1422.5,1110.9,384.6,-2524.9,-2524.9,0,0,7663.8
CE UN Equity,10185.73325,9600,9600,6883,2717,,1842,2184,-206,418,2260,2909,258,37,-69,2196,378,1651,1670,9671,344,12542,1862,-563,1299,13192,21337,2788,16043,5294,-1714,8183,1068,9671,-1714,-1714,0,344,17836
CEG UW Equity,28543.89392,,,,,,,,,,,,,,,,,,,,323,8196,,,,7981,48086,7996,36472,,,,,504,,,,395,
CF UN Equity,21308.1377,11118,11118,5358,5760,529,5305,4894,379,890,6195,5842,413,57,33,4926,1139,3191,3191,2192,2653,3246,4750,-451,4299,3680,13280,1381,6183,7097,-391,-2924,4299,2192,-391,-391,0,2653,10343
CFG UN Equity,19812.91134,8108,7572,,,,2511,,,620,,,,5239,0,2981,561,1837,1837,8421,2050,16549,3783,-206,3577,,224684,,201538,23146,-19978,10639,3577,1235,-19978,-19978,2050,0,39695
CHD UN Equity,17768.24791,5308.3,5308.3,3079.6,2228.7,,972.6,972.6,61.3,214.8,1218.6,1187.4,72.6,0,2.5,911.3,174.6,736.7,736.7,437.6,0,2686,874.3,-152.8,721.5,1564.4,8287.8,1450.6,4600,3687.8,-713,96.3,721.5,437.6,-713,-713,0,0,6373.8
CHRW UW Equity,10929.32392,26131.652,26131.652,24165.972,1965.68,22804.293,1390.154,1390.154,75.939,91.361,1570.864,1481.515,,,75.939,1314.215,239.786,1074.429,1074.429,187.532,0,2562.707,952.644,-58.413,894.231,4433.366,6795.53,3358.878,5117.969,1677.561,-55.804,-911.957,894.231,187.532,-55.804,-55.804,0,0,4240.268
CHTR UW Equity,63744.94879,53560,53560,24828,28732,41682,11878,12480,4162,8991,20951,21513,4363,0,-201,7716,1418,5469,5469,480,0,97032,15364,-8528,6836,3754,143669,11595,131319,12350,-8338,-7012,7251,480,-8338,-8338,0,3461,109382
CI UN Equity,100175.3828,180453,180575,156944,23509,172227,8226,,-111,2945,11171,,1197,0,-1308,9931,1656,6615,6615,7862,92,32079,10832,-1254,9578,30170,144209,41115,99076,45133,3837,-11092,9578,7079,3837,3837,0,92,77212
CINF UW Equity,16138.11261,6766,6766,,,6900,-80,,,105,,,54,,0,-134,-105,-29,-29,1083,0,887,1884,-15,1869,,28199,,18768,9431,-812,-1074,1869,1083,-812,-812,0,0,10318
CL UN Equity,61588.69406,17741,17741,7508,10233,,3056,3676,204,552,3608,3600,,,83,2832,740,1928,1928,1146,431,8248,2989,-668,2321,5278,16288,4492,15235,1053,-1558,-1451,2321,938,-1558,-1558,0,431,9301
CLX UN Equity,17678.57356,7041,7041,4540,2501,,703,740,165,225,928,898,103,4,66,538,123,405,407.261,278,170,3209,923,-245,678,1763,6153,2010,5657,496,-218,-639,656,278,-218,-218,0,170,3705
CMA UN Equity,9394.526259,3349,3264,,,,1319,,,94,,,,1903,0,1319,290,1001,1008,5970,400,3524,470,-78,392,,84143,,79074,5069,-9975,-8114,392,1735,-9975,-9975,400,0,8593
CMCSA UW Equity,137787.0387,121211,121211,38286,82925,106878,14333,22906,4833,13931,28264,36870,4041,0,-99,18073,4468,5405,5404,5695,1046,97623,28219,-10090,18129,23416,254308,27999,172966,81342,-15198,-19149,15100,5695,-15198,-15198,0,1046,178965
CME UW Equity,62258.18078,4958.9,4958.9,,,1979.6,2979.3,3065.9,-483,366.5,3392.4,3265,164.7,,795.1,3520.9,784,2669.8,2678.3,2221.4,0,3950.3,2742.8,-92.6,2650.2,143252.9,178431.5,140572.7,150180.7,28250.8,-396.5,51514.6,2650.2,2130.1,-396.5,-396.5,0,0,32201.1
CMG UN Equity,38537.33697,8414.686,8414.686,6479.091,1935.595,7392.318,1022.368,1054.058,-23.334,279.076,1301.444,1376.762,,,-23.334,1045.702,236.853,808.849,808.849,783.901,0,3729.168,1360.026,-457.424,902.602,1077.432,6817.437,817.857,4490.056,2327.381,-805.234,-906.195,902.602,366.623,-805.234,-805.234,0,0,6056.549
CMI UN Equity,33748.08504,26154,26154,19937,6217,,,2613,,709,,3399,138,,,2555,616,1914,1914,,978,4613,,-825,,12309,23710,7084,14309,,,,,2499,-4091,-4091,0,978,
CMS UN Equity,16553.04851,8351,8351,4002,4349,7194,1157,1157,320,1112,2269,2269,506,4,-175,837,77,1296,1296,168,788,13755,1003,-2372,-1369,3026,30372,2488,22868,7504,-1581,537,-1369,168,-1581,-1581,224,591,21259
CNC UN Equity,47747.01714,141554,141554,115851,25703,139351,2203,4250,-412,1556,3945,6311,653,0,-26,4643,601,2014,2014,17178,222,21564,8512,-1019,7493,33275,81172,31330,55572,25600,-3999,-2740,7493,14987,-3999,-3999,0,222,47164
CNP UN Equity,17806.64334,8924,8924,2763,6161,7376,1548,1367,387,1302,2850,2669,553,,-166,1113,334,1527,1540,566,790,16110,2563,-4095,-1532,4083,36719,4611,26728,9991,24,-1948,-1532,114,24,24,790,0,26101
COF UN Equity,40360.80619,35871,33328,,,,10755,,,3220,16518,,,27206,0,10755,2201,8179,8179,24892,4845,54607,10314,-838,9476,,444232,,393371,50861,-34746,22865,9476,3716,-34746,-34746,4845,0,105468
COO UN Equity,13509.44977,3219.5,3219.5,1114.6,2104.9,,532.7,650.3,8.2,334.5,867.2,,39.5,0,-45.8,644.1,93.9,430.6,430.6,246.3,0.2,3133,736.2,-212.1,524.1,1597.7,11552.1,1375.7,4469,7083.1,-1797.5,1194.9,524.1,246.3,-1797.5,-1797.5,0,0.2,10216.1
COP UN Equity,167559.1778,75056,77328,48843,26213,,25641,,-1688,7288,32929,,846,102,-409,27329,9271,18058,18058,10422,0,16961,27590,-9183,18407,20453,94837,13997,45758,49079,-14402,-15059,18407,8010,-14402,-14402,0,0,66040
COST UW Equity,217084.0555,226954,226954,199382,27572,,7793,7793,-47,1900,9990,,158,205,0,7840,1925,5844,5844,11049,5,9523,7392,-3891,3501,32696,64166,31998,43519,20647,-3915,-4532,3501,10203,-3915,-3915,0,5,30170
CPB UN Equity,15395.5915,8562,8562,5935,2627,7399,1163,1297,188,337,1579,1634,189,1,0,1113,218,757,757,109,2,5049,1181,-242,939,1963,11892,2886,8559,3333,-230,-911,939,109,-230,-230,0,2,8382
CPRT UW Equity,26968.47721,3500.921,3500.961,1894.7,1606.221,2125.924,1374.997,1374.997,34.043,138.605,1541.27,1513.602,16.688,0,17.355,1340.954,250.824,1090.13,1090.13,1384.236,0,119.473,1176.683,-337.448,839.235,2202.455,5308.864,440.889,683.265,4625.599,-442.31,-398.397,839.235,1384.236,-442.31,-442.31,0,0,4745.072
CPT UN Equity,11702.10448,1359.283,1352.211,,,,247.901,,-586.809,546.252,795.453,798.225,107.338,0,-213.828,657.201,2.814,819.901,824.079,62.027,70.369,3688.041,737.529,-495.496,242.033,,9414.125,,4305.763,5108.362,-1396.715,963.775,242.033,62.027,-451.621,-451.621,0,70.369,8796.403
CRL UN Equity,11359.67774,3781.267,3781.267,2370.388,1410.879,,659.972,798.232,118.264,293.566,965.66,1281.525,36.058,0.746,82.952,505.618,98.379,436.394,438.598,194.651,45.091,3352.599,614.141,-334.484,279.657,1415.352,7382.769,1014.194,4710.825,2671.944,-642.998,-1.471,279.657,193.701,-642.998,-642.998,0,45.091,6024.543
CRM UN Equity,147839.9963,29320,29320,8030,21290,21215,75,5298,-179,3707,4791,8875,290,0,-469,2846,-282,536,536,13533,0,14319,6396,-715,5681,21246,94148,20080,34050,60098,-5269,-495,5681,6931,-5269,-5269,0,0,74417
CSCO UW Equity,183085.1569,51557,51557,19309,32248,18279,13969,16867,-508,1957,16316,18824,360,476,-392,17375,2665,11812,11812,19267,0,10561,13226,-477,12749,36717,94002,25640,54229,39773,1553,-16142,12749,7079,1553,1553,0,0,50334
CSGP UW Equity,32789.38609,2115.84,2116.054,391.144,1724.696,1260.524,464.172,672.173,3.879,147.151,647.938,682.618,29.696,21.312,-4.505,527.311,122.312,337.981,337.981,4774.465,0,1111.894,444.102,-119.017,325.085,5006.587,8205.863,325.906,1498.951,6706.912,-160.324,729.1,325.085,4774.465,-160.324,-160.324,0,0,7818.806
CSX UW Equity,62767.41164,14550,14550,,,8620,5930,5929,615,1467,7397,7397,723,,-108,5315,1233,4082,4082,2399,9,18537,5535,-2008,3527,4310,42242,2508,29359,12883,-2058,-3345,3806,2311,-2058,-2058,0,9,31420
CTAS UW Equity,43682.7663,8123.963,8123.963,4366.361,3757.602,,1633.389,1603.238,94.369,401.798,2110.987,2035.187,94.71,0.341,0,1539.02,282.753,1254.772,1256.267,74.558,0,3169.618,1573.64,-261.94,1311.7,2747.79,8261.026,1599.541,5031.4,3229.626,-404.909,-1173.922,1311.7,74.558,-404.909,-404.909,0,0,6399.244
CTLT UN Equity,7650.251866,4825,4825,3251,1574,,678,678,173,396,1074,1220,,,-5,505,79,422,426,345,0,4204,184,-655,-471,2698,10205,943,5505,4700,-1833,-39,-471,281,-1833,-1833,0,0,8904
CTRA UN Equity,22881.32289,8996,8996,3354,5642,3840,5153,4756,57,1606.014,6759.014,6362,83,0,-26,4670,1124,3972,3972,778,11,2686,4924.337,-1473.96,3450.377,2350,20305,1415,7635,12670,-411.279,-3811.618,1820.538,778,-411.279,-411.279,11,0,15356
CTSH UW Equity,27366.31625,19366,19366,12326,7040,,3014,3014,-25,572,3586,3586,13,39,-1,3039,699,2345,2345,2731,0,1520,2691,-307,2384,7317,17347,3223,5389,11958,-526,-1787,2384,2042,-526,-526,0,0,13478
CTVA UN Equity,48318.66246,17109,17218,10158,6951,,1925,2175,51,1236,3161,3116,51,94,-18,1858,462,1361,1981,2318,240,2853,1400,-620,780,15045,40651,8918,15567,25084,-600,-1321,780,2199,-600,-600,0,240,27937
CVS UN Equity,133919.5053,315225,315225,261092,54133,308868,6357,17673,2268,4313,10670,19311,2343,0,-75,7330,928,3153,3154,19989,328,71072,22134,-2636,19498,68341,231212,72409,160201,71011,-6368,-11160,19498,17197,-6368,-6368,0,328,142083
CVX UN Equity,358515.9299,227055,237908,179815,47240,191057,36805,,-10046,16368,53173,,548,124,-1851,46851,12539,34167,34167,15431,947,23641,46562,-10745,35817,51503,259735,36883,100108,159627,-9785,-27105,35817,15164,-9785,-9785,0,947,183268
CZR UW Equity,9548.191673,10591,10591,5573,5018,9218,1373,1626,2339,1194,2567,2867,2241,0,98,-980,-163,-1185,-1026.6,944,54,25492,704,-924,-220,1936,33594,2426,29702,3892,-413,-1938,-220,944,-413,-413,0,54,29384
D UN Equity,52263.02187,16141,16141,4709,11432,13474,2667,4233,355,3044,5711,6989,926,,-571,3878,468,2305,,163,1783,43303,3173,-7222,-4049,8699,103535,12172,74962,28573,-4159,1059,-4049,163,-4159,-4159,1783,0,71876
DAL UN Equity,21499.045,46617,41742,,,44162,2455,2452,2055,2057,4512,4510,1056,0,991,1631,318,82,82,8368,0,30836,5731,-5384,347,14799,72596,25870,68006,4590,-2669,-5397,5363,7023,-2669,-2669,0,0,35426
DD UN Equity,32927.17087,14184,14184,9212,4972,,,2758,,1270,,3476,505,8,,2415,383,1846,1564,,541,11257,,,,8065,45707,4262,18657,,,,,1785,,,0,594,
DE UN Equity,122080.0073,48368,43841,32933,15435,40513,8777,7648,922,1924,10701,,922,0,0,7855,1695,6168,6169,5078,-40640,51228,3830,-3191,639,22894,86817,32082,67686,19131,-7078,94,639,4359,-7078,-7078,0,98,70359
DFS UN Equity,28027.49947,13876,12541,,,5053,5749,,,568,7652,,,11646,0,5749,1323,4339,4339,10004,1056,20177,6307,-226,6081,,121886,,107600,14286,-16014,8829,6081,10004,-16014,-16014,1056,0,34463
DG UN Equity,56695.19754,35346.352,35395,24240.087,11106.265,,3121.84,3121.84,160.478,678.356,5347.196,3800.159,160.478,0,0,2961.362,646.211,2315.151,,326.263,0,15492.727,2496.283,-1210.778,1285.505,7682.892,28239.256,7566.786,22050.765,6188.491,-1205.514,-1278.172,1285.505,326.263,-1205.514,-1205.514,0,0,21681.218
DGX UN Equity,16685.65202,10294,10294,6593,3701,8465,1829,1991,201,427,2256,2418,149,6,99,1650,382,1230,1233,700,37,4640,1865,-401,1464,2334,13223,1602,6951,6272,-596,-1556,1464,700,-596,-596,0,37,10912
DHI UN Equity,25428.69532,31949.8,31949.8,21913.3,10036.5,,7237.1,7237.1,-53.4,77.4,7314.5,7353.8,0,149.8,96.4,7290.5,1697.5,5564.7,5564.7,1655.7,373,6019.2,6.1,-155.5,-149.4,23383.2,28869.9,4459.2,10434.4,18435.5,-418.2,127.3,-149.4,1655.7,-418.2,-418.2,0,373,24454.7
DHR UN Equity,184509.4313,31250,31250,12297,18953,,8546,10149,362,2257,10803,10812,203,13,172,9504,1419,6640,6662,5150,1676,20247,8311,-1243,7068,14250,81030,8002,34037,46993,-2297,-3416,12244,5150,-2297,-2297,1668,8,67240
DIS UN Equity,181248.4009,81106,81106,53184,27922,74279,6498,12111,1299,5121,11619,15448,1438,95,743,9660,1644,3142,3239,12959,13358,51602,6121,-4905,1216,31422,204074,30704,98216,105858,-4958,-4274,1205,12959,-4958,-4958,0,13358,157460
DISH UW Equity,8098.576688,17082.692,17086.071,11501.46,5581.232,14698.352,2384.34,2697.149,-122.611,690.086,3345.765,3387.235,15.586,21.974,-116.223,2506.987,523.101,1920.042,1920.21,1089.136,447.167,22110.064,2913.087,-2304.833,608.254,2941.863,49003.024,5939.922,31565.891,17437.133,-7503.466,3131.039,-248.564,817.512,-7503.466,-7503.466,0,447.167,39547.197
DLR UN Equity,28973.28893,4569.894,4569.894,,,,600.484,673.817,-922.663,1526.686,2127.17,2343.785,284.012,0,-1199.773,,53.187,1400.868,1400.869,176.969,2184.92,17122.221,,,,,39215.217,,20230.276,18984.941,,,,176.969,,,755,1921.021,36107.162
DLTR UW Equity,36085.2024,27169.4,27158.2,18792.5,8376.9,,2126.2,2163.444031,177.9,749.6,2875.8,3101.944031,,,0.4,1985.544031,381,1567.3,1567.3,688.9,0,9987.1,1216,-1096.8,119.2,6377.3,22676.3,4380.5,14279.8,8396.5,-1101.8,-139.5,119.2,688.9,-1101.8,-1101.8,0,0,18383.6
DOV UN Equity,18488.82523,8358.142,8358.142,5339.428,3018.714,,1309.414,1466.174,-115.391,302.695,1612.109,1769.996,109.732,4.321,-220.802,1307.337,260.223,1164.582,1164.429,306.002,0,3631.522,794.36,-216.347,578.013,3377.045,10652.341,2888.754,6660.915,3991.426,-1108.172,-119.33,578.013,306.002,-1108.172,-1108.172,0,0,7622.948
DOW UN Equity,35124.62501,59407,59407,49460,9947,,6857,8254,-486,2759,10033,11013,657,125,-531,7645,1589,5696,5688,2216,512,14759,7972,-2566,5406,19777,59557,12315,40928,18629,-2718,-5913,6275,2216,-2718,-2718,0,512,33388
DPZ UN Equity,11923.57235,4488.14,4488.14,2845.2,1642.94,,741.795,741.795,162.578,78.73,866.603,820.501,198.144,1.308,-34.258,579.217,129.571,449.646,449.646,130.209,0,5384.15,514.941,-94.028,420.913,826.398,1646.409,578.737,5962.954,-4316.545,-111.074,-615.115,405.731,114.776,-111.074,-111.074,0,0,1067.605
DRI UN Equity,17134.18826,9770.1,9770.1,7828.1,1942,8643.8,1126.3,1126.3,73.4,375,1501.3,1496.1,72.9,0,0.5,1052.9,136.3,914.9,916.6,377.5,0,5926.9,1502.3,-417,1085.3,941,10014.5,1825.3,7950.4,2064.1,-423.4,-1642.3,0,377.5,-423.4,-423.4,0,0,7991
DTE UN Equity,21594.46865,19399,18175,13314,6085,17698,1701,1862.5,589,1500,3201,,639,32,-18,1256,-6,1124,1124,26,-19,19751,2107,-3472,-1365,4310,41954,5466,32968,8986,-3536,1424,-1365,26,-3536,-3536,0,6,28737
DUK UN Equity,71948.80188,28023,28023,9105,18918,22240,5783,5788.063291,1863,5888,11671,11102.06329,2407,,-544,3912,173,3826,3999,453,3786,73919,6251,-10774,-4523,12972,176340,16912,124171,52169,-11365,5000,-4523,453,-11365,-11365,1962,1824,126088
DVA UN Equity,6120.493027,11636.973,11636.973,8181.09,3455.883,10164.748,1472.225,1511.023,338.5,713.297,2185.522,2224.364,328.144,,10.356,1133.725,229.265,679.77,738.503,441.815,1540.208,12036.676,1750.736,-598.947,1151.789,3202.442,16961.799,2537.409,14888.919,2072.88,-753.631,-1673.5,1032,367.51,-753.631,-753.631,0,1540.208,14109.556
DVN UN Equity,46824.5292,19143,19143,10677,8466,11259,7978,7092,94,2175,10153,9267,369,41,-234,6748,1539,6286,6327,1310,134,6480,8235,-4819,3416,4009,23557,3460,12550,11007,-4812,-4434,7489,1310,-4812,-4812,0,134,17487
DXC UN Equity,6577.564761,15370,15370,12045,3325,,,1225,,,,2850,162,77,,1140,369,757,757,,321,6168,,,,7446,20139,6853,14764,,,,648,2260,,,0,321,
DXCM UW Equity,44477.62368,2792.8,2792.8,978.4,1814.4,1548,266.4,412,23.5,153.5,419.9,668.9,39.1,4.8,1,317.2,12.9,230,230,2371.9,0,2132.2,644.6,-381.5,263.1,3398.5,4899.2,900.5,3074.7,1824.5,-823.5,-565.4,263.1,698.1,-823.5,-823.5,0,0,3956.7
EA UW Equity,35929.01724,7285,7531,1826,5459,4124,1335,2293,25,528,1863,2733,,,-9,2606,409,901,901,1874,0,1960,1788,-213,1575,3442,13079,2561,5281,7798,-201,-1678,1728,1539,-201,-201,0,0,9758
EBAY UW Equity,22569.19151,9898,9898,2693,7205,4732,2473,3015,6064,457,2930,3354,,,6064,2141,-753,28,-2837,4736,0,8302,1863,-399,1464,5289,19097,3974,14244,4853,6540,-7918,2780,2037,6540,6540,0,0,13155
ECL UN Equity,40320.25948,13881.2,13881.2,8619.2,5262,,1551,1766.1,179.7,917.8,2468.8,,225.9,7.2,-39,1548.6,226.6,1128.3,1128.3,112.9,27.3,8950.7,1570.1,-729.3,840.8,5099.3,21037,3772.3,13947.1,7089.9,-4447.6,2092.5,840.8,112.9,-4447.6,-4447.6,0,27.3,16040.6
ED UN Equity,31394.7166,15055,15055,3617,11438,,,2612.555696,,,,4656,941,,,2118.555696,326,1694,1657,,145,25364,3638,,,5551,63116,5427,42780,,,,,992,,,0,299,
EFX UN Equity,20423.56433,5177.4,5177.4,2163.7,3013.7,4045.3,1132.1,1073.2,205.6,558.8,1690.9,1753.8,166.9,1.4,40.1,968,212.4,710.2,710.2,241.7,16.6,5882.1,796.8,-604.5,192.3,1294.9,11308,2018.7,7532.4,3775.6,-2765,164.2,192.3,241.7,-2765,-2765,0,16.6,9657.7
EIX UN Equity,22137.27532,16535,16535,5982,10553,15197,1338,2737,787,2565,3903,5221,1050,,-263,633,-374,720,880,232,3878,31861,2539,-5630,-3091,6441,76709,10820,59416,17293,-5602,2771,-3091,232,-5602,-5602,3878,0,49154
EL UN Equity,74377.52847,17275,17277,4271,13004,10108,2896,3048,124,722,3618,4134,171,41,-6,2917,569,2187,2187,2938,808,7494,2471,-987,1484,8866,19989,5271,13664,6325,-806,-2722,1484,2938,-806,-806,0,808,13819
ELV UN Equity,127049.1018,153247,152011,126393,26854,145232,8853,9239,838,1562,10668,10630,822,,16,8437,1832,6213,6213,35901,52,24693,11589,-1194,10395,55603,103026,41287,66983,36043,-5815,-2392,10395,8872,-5815,-5815,0,52,60736
EMN UN Equity,9853.609021,10901,10901,8581,2320,,1661,1461,183,482,2199,1943,186,4,6,1237,304,1170,1170,461,83,5256,948,-648,300,4105,14985,3207,9518,5467,1016,-2220,300,461,1016,1016,0,83,10723
EMR UN Equity,54222.2082,19629,19600,11441,8188,,4278,4522,193,1039,5317,5317,193,0,0,4686,855,3231,3231,1804,5952,10374,2922,-531,2391,8506,35672,7777,19356,16316,-5334,1862,2391,1804,-5334,-5334,0,5952,
ENPH UQ Equity,38069.47222,2018.92,2018.92,1191.712,827.208,478.212,348.996,558.628,14.585,56.441,416.797,615.069,19.848,5.35,0.087,334.411,38.211,296.2,296.2,1417.296,0,1309.429,588.276,-43.222,545.054,1982.664,2697.835,550.236,2087.782,610.053,-810.293,-325.946,545.187,337.583,-810.293,-810.293,0,0,1919.482
EOG UN Equity,86916.02444,25655,25027,7955,17700,15386,9641,9712,100,3574,13215,,175,,-75,9541,2074,7467,7467,5272,0,5554,10815,-4652,6163,10201,40487,5746,16638,23849,-4496,-5340,6163,5272,-4496,-4496,0,0,29403
EPAM UN Equity,18253.6311,4700.859,4700.859,3181.222,1519.637,,568.156,712.067,102.111,92.723,717.394,804.784,,,-1.286,609.956,59.389,406.656,406.656,1547.815,1.478,197.29,562.649,-116.751,445.898,2527.986,3735.603,727.957,976.959,2758.644,-362.22,-136.342,445.898,1487.599,-362.22,-362.22,0,1.478,2955.934
EQIX UW Equity,55347.97061,7098.638,7098.638,3691.236,3407.402,5020.15,1168.053,1264.063,351.354,1724.903,3106.525,3318.537,342.364,18.936,27.926,816.699,117.884,698.856,698.856,2500.816,-0.286,16023.528,3095.098,-2315.878,779.22,4017.055,29325.866,1695.989,18171.773,11154.093,-3112.123,1133.335,1111.613,2500.816,-3112.123,-3112.123,0,-0.286,27177.621
EQR UN Equity,22773.39348,2680.607,2680.607,,,,726.66,1515.566,-476.92,890.136,1642.725,,295.819,0,-776.565,1207.022,0.961,1141.775,1141.775,44.788,624.827,7807.739,1402.199,-1106.059,296.14,,20265.405,,8633.131,11632.274,118.305,-1625.786,296.14,44.788,,,37.28,587.547,19440.013
EQT UN Equity,16017.88743,6285.82,7857.555,4188.759,2097.061,5001.987,2855.568,1863.907,400.088,1746.358,4601.926,3610.128,270.494,0,129.594,2455.48,585.823,1860.316,1860.316,87.541,39.639,4769.319,3572.704,-1395.665,2177.039,3902.467,22541.137,6637.902,12882.536,9658.601,-1375.022,-2132.933,2136.092,87.541,-1375.022,-1375.022,0,39.639,14427.92
ES UN Equity,26495.74503,11741.508,11741.508,4561.405,7180.103,9592.773,2148.735,2148.735,350.733,1658.271,3807.006,1792.001333,642.68,,-291.947,1798.002,399.067,1391.415,1391.415,485.716,155.57,21843.935,2131.231,-3316.687,-1185.456,3919.654,51599.425,5487.161,36164.682,15434.743,-3957.227,2210.123,-1185.456,485.716,-3957.227,-3957.227,155.57,,37278.678
ESS UN Equity,13452.60444,1563.227,1537.622,,,,468.348,514.778,85.458,535.74,1004.088,1093.73,193.639,0,-15.973,,0,360.024,360.024,42.711,207.003,6041.292,1014.117,-334.718,679.399,,12624.33,,6713.895,5910.435,-371.572,-649.928,679.399,42.711,,,0,207.003,11951.727
ETN UN Equity,63301.90827,20166,20166,13545,6621,,2803,3135,119,954,3757,,132,0,-13,2733,391,2291,2491,518,35,9455,2142,-552,1590,8540,34364,6653,18261,16103,-1059,-1123,2476,231,-1059,-1059,0,35,25558
ETR UN Equity,21994.54806,13214.192,13214.192,4862.333,8351.859,11270.745,1943.447,2540.444,822.043,2214.377,4157.824,4261.401,1008.757,,28.489,1719.145,-123.468,1269.102,1255.589,1003.491,317.325,27606.611,2099.171,-6486.604,-4387.433,5509.805,58975.295,6154.875,46561.619,12413.676,-6686.268,4590.552,-4387.433,1003.491,-6686.268,-6686.268,317.325,0,40020.287
ETSY UW Equity,12708.34571,2476.009,2476.04,727.783,1748.226,2403.881,-655.655,442.759,-10.16,98.899,-556.756,708.535,9.616,0.216,0,-645.495,-3.216,-642.279,-642.279,1041.155,0,2389.742,682.321,-36.174,646.147,1352.113,2450.311,497.246,3056.553,-606.242,-53.044,-458.689,646.147,789.99,-53.044,-53.044,0,0,1783.5
EVRG UN Equity,14119.79804,5701.6,5701.6,1648.3,4053.3,4393.4,1308.2,1109,404.2,1008.5,2316.7,1882.5,384.6,,19.6,904,100.7,798.6,798.6,24.7,6.5,11664,1793.4,-2192.4,-399,1905.7,29247.6,3671.7,19632.1,9615.5,-2205.4,395.8,-399,24.7,-2189.8,-2189.8,,6.5,21279.5
EW UN Equity,42913.4635,5363.8,5363.8,1132,4231.8,,1675.1,1713,-9.3,137.2,1812.3,,,,-5.8,1679.7,225.6,1458.8,1458.8,1738.7,0,686.8,1309,-265.5,1043.5,3513.9,8638.2,917.9,2420.4,6217.8,-808.3,-768.9,-56.2,1247.8,-808.3,-808.3,0,0,6904.6
EXC UW Equity,37240.47572,24041,23085,10183,13858,20819,3222,,711,4048,7270,6751,1452,,-577,,497,2129,,446,-744,38663,3012,-7225,-4213,7055,93455,8717,68873,24582,-6092,869,-4213,446,-6092,-6092,0,0,63245
EXPD UW Equity,16466.56597,19026.099,19026.099,14178.08,4848.019,16907.905,2118.194,2118.194,-22.49,55.313,2173.507,2161.8997,0,14.658,-7.832,2140.684,540.805,1590.955,1592.134,2154.534,9.213,498.418,1947.973,-79.945,1868.028,5587.556,6607.526,2706.25,3116.133,3491.393,-80.935,-1532.61,1868.028,2154.534,-80.935,-80.935,0,9.213,3989.811
