indx_members,cur_mkt_cap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,sales_rev_turn,gross_profit,ebitda,earn_for_common,cf_cash_from_oper,capital_expend,cf_free_cash_flow,is_oper_inc,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,is_comp_sales,headline_fcf,bs_cash_near_cash_item,is_cogs_to_fe_and_pp_and_g,is_tot_oper_exp,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,is_comp_net_income_gaap,cb_cf_net_cash_investing_act,cb_cf_net_cash_financing_act
ADI UW,86111.05818,1470.572,0,6548.625,12013.953,7532.474,5576.199,2748.561,4475.402,-699.308,3776.094,3278.7,4937.992,50302.35,2442.655,13837.027,36465.323,-657.368,-4325.426,12014,3776.094,1470.572,4481.479,4253.774,5939,179.951,2297.499,8236.499,200.408,6.906,-13.551,5750.065,350.188,2748.561,-657.368,-4290.72
ADM UN,53593.04584,1099,322,9742,98707,7458,5132,4103,4090,-1296,2794,4101,34569,58304,22936,33985,24319,-2330,-1928,98707,2794,1099,91249,#VALUE!,5199,-930,1031,6553,339,104,-264,4974,893,4103,-2330,-1928
ADP UW,108801.0267,1207.7,0,3592.5,16881.6,7248.7,4600,3027.3,3695.7,-183.9,3511.8,3934.4,37968.8,46364.7,39166.2,43788.2,2576.5,-7355.6,-13956.4,16881.6,3511.8,1207.7,9632.9,13061.8,3974,21.1,521.1,4877.1,114.6,60.9,-32.6,3913.1,886,3027.3,-7355.6,-13834
ADSK UW,45149.07927,1571,0,3045,4744.4,4288.1,1037.2,557.8,1684.2,-42.9,1641.3,791.7,2329,8227,3642,7487,740,-431.2,-736.1,4744.4,1641.3,1440,456.3,3496.4,1627.6,70.2,151.7,1756.3,#VALUE!,#VALUE!,64.4,#VALUE!,163.7,#VALUE!,-431.2,-705.7
AEE UN,22532.50023,7,129,14953,7456,5138,2835,1036,2101,-3884,-1783,1436,2518,37657,3175,27327,10330,-3340,1308,7456,-1783,7,2318,6020,1436,218,1399,2691,449,24,-176,1218,177,1037,-3340,1307
AEP UW,48174.71981,779.5,234.1,38384.1,18819.8,12302.6,7120,2461.8,5600.1,-6454.3,-854.2,3606.3,9320,91249.4,11836.4,66663.8,24585.6,-7350.2,900.7,18786.9,-854.2,577.3,6517.2,15213.5,3606.8,1001.5,3513.7,6023.6,1305.3,#VALUE!,-172.8,2799.4,20.7,2461.8,-7350.2,900.7
AES UN,18772.7282,2224,4091,22205,12327,2544,3420,-275,2172,-3293,-1121,2359,7628,37775,5902,31113,6662,-5148,3036,12327,-1121,1553,9783,#VALUE!,715,3167,1061,1776,1055,356,2406,2844,-22,-219,-5148,3139
AFL UN,44936.65714,4710,0,7683,20925,#VALUE!,#VALUE!,5055,3716,0,3716,5540,#VALUE!,128100,#VALUE!,103996,24152,-2054,-3160,20925,3716,4710,#VALUE!,15612,#VALUE!,#VALUE!,#VALUE!,#VALUE!,227,#VALUE!,0,4506,258,5055,-2054,-3098
AIG UN,45106.31573,2294,2478,30432,58938,#VALUE!,#VALUE!,13722,4533,0,4533,20159,#VALUE!,522932,#VALUE!,481931,41001,-2621,-2687,58938,4533,2294,#VALUE!,39887,9526,#VALUE!,4961,#VALUE!,1108,#VALUE!,0,5428,3855,8501,-2621,-2546
AIZ UN,6682.647341,1429.8,0,2146.7,10115.1,#VALUE!,#VALUE!,328.6,574.3,-190,384.3,518.5,#VALUE!,33245.7,#VALUE!,29164.2,4098.9,-14,-1158.4,10115.1,384.3,1429.8,#VALUE!,9704.1,#VALUE!,#VALUE!,185.8,#VALUE!,107.5,#VALUE!,0,721.6,79.3,331.7,-159.2,-1099.6
AJG UN,41712.58483,553.7,55.3,6321.1,8495,8242.9,2164.5,1088.1,2487.9,-165.7,2322.2,1572.4,23796.6,38667.8,22456.6,30038.7,8629.1,-3272.1,48.7,8495,2322.2,553.7,252.1,7177,#VALUE!,254.4,592.1,#VALUE!,254.4,0,0,#VALUE!,216.6,#VALUE!,-3272.1,412.8
AKAM UW,14401.82095,1352.674,0,3153.33,3594.233,2242.979,1290.767,507.388,1320.078,-457.209,862.869,704.884,1695.573,8107.369,753.011,3874.185,4233.184,-1371.607,-754.827,3594.233,862.869,457.816,1351.254,2889.349,1058.371,34.301,585.883,1551.874,26.729,6.758,14.33,857.674,154.13,590.368,-1371.607,-725.442
ALB UN,32994.91462,1382.803,231.991,3505.929,5593.33,2309.862,1931.322,1553.547,809.273,-1116.862,-307.589,1605.766,4296.971,13828.502,2487.951,6863.875,6964.627,-1121.072,1099.553,5593.302,-307.589,1382.803,3283.468,#VALUE!,1901.013,43.473,283.515,2460.828,104.24,0,359.828,1565.703,381.51,1553.547,-1121.072,1219.9
ALGN UW,14886.652,1141.021,0,120.867,3864.219,2760.637,872.51,510.759,696.874,-347.792,349.082,750.826,2500.58,5912.802,1809.403,2218.18,3694.622,-465.217,-425.369,3864.219,349.082,1044.523,1103.582,2009.811,892.325,47.078,121.684,#VALUE!,#VALUE!,3.283,50.361,846.127,192.989,510.759,-465.217,-403.071
ALK UN,5821.856636,3150,0,3955,9066,#VALUE!,580,54,1538,-1049,489,86,3810,14531,4709,10705,3826,-953,-385,9066,489,688,#VALUE!,8980,633,13,410,1043,101,41,-47,620,19,54,-953,-385
ALL UN,35691.90495,786,1913,7967,50776,#VALUE!,#VALUE!,-316,5022,-411,4611,290,#VALUE!,97676,#VALUE!,80115,17561,-1056,-4022,50776,4611,786,#VALUE!,50821,#VALUE!,#VALUE!,914,#VALUE!,335,#VALUE!,0,1385,-96,-290,-1060,-4022
ALLE UN,10017.82358,282.2,2.3,2329.6,3119.6,1258.2,679.5,435.4,399.3,-58.2,341.1,542.1,1235.9,3943.3,689.2,3149.7,793.6,-982.6,361.6,3119.6,341.1,282.2,1861.4,#VALUE!,585.3,43.3,90.7,667.5,65.4,0.4,-23.6,528.4,63.2,435.4,-982.6,386.1
AMAT UW,91476.69763,2581,0,5457,25785,11993,8232,6525,5399,-787,4612,7788,15925,26726,7379,14532,12194,-1357,-7043,25785,4612,1995,13792,4205,7861,189,444,8305,228,39,0,7622,1074,6525,-1357,-7043
AMCR UN,17845.89887,562,58,7081,14836,2838,#VALUE!,835,#VALUE!,#VALUE!,#VALUE!,#VALUE!,5853,17426,5103,13285,4194,#VALUE!,#VALUE!,14836,#VALUE!,562,11998,#VALUE!,1712,#VALUE!,599,2124,#VALUE!,#VALUE!,#VALUE!,1141,295,835,-622,#VALUE!
AMD UW,120410.7587,5660,0,2890,22828,10626,5692,2273,3820,-412,3408,2620,14420,67811,6691,13269,54542,932,-3794,#VALUE!,3408,3398,12202,#VALUE!,#VALUE!,97,3072,#VALUE!,77,0,20,#VALUE!,261,#VALUE!,932,-3794
AME UN,32450.167,309.944,0,2524.207,6028.608,2104.61,1844.067,1134.142,1046.255,-124.271,921.984,1463.753,2432.568,12038.932,1591.383,4906.26,7132.672,-416.196,-678.791,6028.608,922,309.944,3923.998,4564.855,1463.753,74.273,308.586,1675.312,80.681,#VALUE!,-5.908,1389.48,255.338,1134.142,-416.196,-633.053
AMGN UW,152592.9872,11478,0,38704,26330,19953,12998,6835,9880,-883,8997,9640,24062,63700,14331,60047,3653,-2801,-9546,26330,5339,9502,6377,16690,12749,1911,3358,#VALUE!,1326,0,585,11341,894,6835,-2801,-9546
AMP UN,35162.37232,7993,0,3023,14436,#VALUE!,4231,2766,4741,-160,4581,3429,#VALUE!,153354,#VALUE!,150097,3257,-12248,7568,14414,4581,7993,#VALUE!,10985,#VALUE!,#VALUE!,14,#VALUE!,#VALUE!,0,0,3365,663,2766,-12248,7677
AMT UN,101567.206,2121.8,6036.8,46661.8,10451.3,#VALUE!,7190.8,2903,1547.8,-1675.4,-127.6,2786.9,#VALUE!,66512.8,#VALUE!,54194.2,12318.6,-11673.9,7034.1,10451.3,-4858.3,2121.8,#VALUE!,#VALUE!,2778.7,-220.9,3184.3,6452.7,1057.1,#VALUE!,-1278,2569,153.3,2903,-11673.9,7181.2
AMZN UW,946713.5387,58662,0,144580,502191,216165,60091,11323,39665,-65988,-26323,12971,131463,428362,140363,290873,137489,-39360,4696,502191,-111690,34947,286026,489220,12971,3011,38578,69769,2155,662,1298,9660,-1378,11079,-39360,6532
ANET UN,41368.42225,2980.071,0,47.067,3930.217,2429.804,1381.614,1164.652,677.576,-43.465,634.111,1323.975,5031.678,6162.01,1254.912,1776.792,4385.218,234.953,-827.234,3930.217,634.111,716.253,1500.413,1105.829,1577.382,-39.264,57.639,1648.055,#VALUE!,#VALUE!,-30.747,1430.946,198.587,1164.652,234.953,-820.841
ANSS UW,21156.94809,632.703,0,883.101,2027.105,1768.914,711.976,468.934,558.684,-20.112,538.572,571.405,1449.876,6161.64,609.69,1617.955,4543.685,-671.779,-335.234,2039.559,538.572,632.509,258.191,1197.509,845.702,17.528,112.606,#VALUE!,16.479,2.675,3.724,621.256,84.943,468.988,-671.779,-296.965
AON UN,62852.26587,943,113,11674,12429,#VALUE!,3909,2795,3108,-161,2947,3631,19176,31223,18688,31893,-670,-44,-2167,12429,2947,692,#VALUE!,8798,3811,148,278,3947,381,17,-251,3539,630,2795,-44,-883
AOS UN,9375.833929,417.1,0,320.7,3813.3,1341.6,746.6,495.4,479,-80.7,398.3,655.4,1569.6,3231.9,900.9,1484.1,1747.8,-156.3,-450,3813.3,398.3,358.8,2471.7,#VALUE!,659.5,7,76.4,725.4,7.4,#VALUE!,-0.4,648.4,153,495.4,-156.3,-412.6
APA UW,15204.29336,268,1590,7763,10857,#VALUE!,#VALUE!,3613,#VALUE!,#VALUE!,#VALUE!,#VALUE!,2380,13303,2117,13308,3226,#VALUE!,#VALUE!,10885,1908,268,#VALUE!,6569,#VALUE!,#VALUE!,1211,6592,#VALUE!,#VALUE!,#VALUE!,3931,1558,3716,-1185,-3539
APD UN,68418.33225,3301.7,558.4,7644.8,12698.6,3360.1,3677,2256.1,3230.2,-2926.5,303.7,2338.8,6282.9,27192.6,3465.8,13490.2,13702.4,-3857.2,-1130.9,12698.6,303.7,2711,9338.5,#VALUE!,2412.5,-415.9,1338.2,4247,128,#VALUE!,-62.4,2826.8,500.8,2315.6,-3857.2,-1000.6
APH UN,47678.97618,1252,78,4753.2,12410.7,3932,2918.3,1859.8,1939.9,-376.4,1563.5,2512.6,6326.9,15097.9,2654.9,8449,6648.9,-723.3,-1407.2,12410.7,1562.2,1189,8478.7,#VALUE!,2539.6,113.7,405.7,2945.3,120.2,0,-6.5,2406.4,535.4,1859.8,-723.3,-1285.4
APTV UN,28975.34864,4850,186,6773,16983,2413,1847,313,999,-847,152,1083,10983,19971,4129,11590,8381,-1172,2258,16949,152,4850,14570,15900,1335,368,764,2403,193,33,136,737,96,360,-1172,2313
ARE UN,25033.15443,533.824,3639.044,11027.633,2495.604,#VALUE!,1575.938,531.866,1142.718,-7047.376,-5904.658,549.443,#VALUE!,34368.614,#VALUE!,13113.235,21255.379,-5394.549,4749.945,2495.604,-5904.658,533.824,#VALUE!,#VALUE!,809.523,-125.786,976.92,1782.967,111.543,0,-233.838,#VALUE!,0,538.057,#VALUE!,4752.623
ATO UN,16468.45894,51.554,0,8421.866,4201.662,2519.006,1500.031,774.398,977.584,-2444.42,-1466.836,920.982,3047.693,22192.989,3602.6,12773.898,9419.091,-2429.958,1387.205,4201.662,-1466.836,51.554,1682.656,3280.68,920.982,69.074,535.655,1456.637,102.811,#VALUE!,-33.737,851.908,77.51,774.398,-2429.958,1387.205
ATVI UW,59142.99512,10688,0,3610,7357,5234,2299,1675,1758,-88,1670,1984,13110,25620,2278,6812,18808,-3151,-574,7393,1670,7743,2123,5373,2724,60,315,2937,#VALUE!,69,48,2517,249,1674,-3151,-461
AVB UN,23618.87003,200.999,3.406,8183.01,2524.971,#VALUE!,1599.058,1230.691,1396.686,-1865.536,-468.85,738.167,#VALUE!,20164.77,#VALUE!,8951.327,11213.443,-656.789,-663.803,2354.035,-468.85,200.999,#VALUE!,#VALUE!,#VALUE!,-504.667,857.061,1565.845,228.324,0,-680.791,1028.972,12.262,1230.691,#VALUE!,-663.803
