headline_fcf(),bs_cash_near_cash_item(), is_cogs_to_fe_and_pp_and_g(), is_tot_oper_exp(), is_comparable_ebit(),is_non_operating_inc_loss_gaap(), cf_depr_amort(),is_comparable_ebitda(), is_int_expense(), is_int_inc(), is_other_nonop_inc_loss_gaap(), is_comp_ptp_ex_stk_based_comp(), is_inc_tax_exp(), is_comp_net_income_gaap(), is_comp_net_income_gaap(fa_period_offset=1), is_comp_net_income_gaap(fa_period_offset=2), is_comp_net_income_gaap(fa_period_offset=3), is_comp_net_income_gaap(fa_period_offset=4), is_comp_net_income_gaap(fa_period_offset=5), cb_cf_net_cash_investing_act(),cb_cf_net_cash_financing_act(), ebit(), pretax_inc(), is_comp_net_income_adjust(), bs_pfd_eqy(), minority_noncontrolling_interest(),	bs_tot_cap()) for(members('RAY Index'))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,cur_mkt_cap(),cash_and_marketable_securities(),preferred_equity_and_minority_int(),RR251,sales_rev_turn(),gross_profit(),ebitda(),earn_for_common(),cf_cash_from_oper(),capital_expend(),cf_free_cash_flow(),is_oper_inc(),bs_cur_asset_report(),bs_tot_asset(),bs_cur_liab(),RR005,RR007,cf_cash_from_inv_act(),cf_cash_from_fnc_act(),is_comp_sales(),is_comp_sales(fa_period_offset=1),is_comp_sales(fa_period_offset=2),is_comp_sales(fa_period_offset=3),is_comp_sales(fa_period_offset=4),is_comp_sales(fa_period_offset=5),headline_fcf(),bs_cash_near_cash_item(),is_cogs_to_fe_and_pp_and_g(),is_tot_oper_exp(),is_comparable_ebit(),is_non_operating_inc_loss_gaap(),cf_depr_amort(),is_comparable_ebitda(),is_int_expense(),is_int_inc(),is_other_nonop_inc_loss_gaap(),is_comp_ptp_ex_stk_based_comp(),is_inc_tax_exp(),is_comp_net_income_gaap(),is_comp_net_income_gaap(fa_period_offset=1),is_comp_net_income_gaap(fa_period_offset=2),is_comp_net_income_gaap(fa_period_offset=3),is_comp_net_income_gaap(fa_period_offset=4),is_comp_net_income_gaap(fa_period_offset=5),cb_cf_net_cash_investing_act(),cb_cf_net_cash_financing_act(),ebit(),pretax_inc(),is_comp_net_income_adjust(),bs_pfd_eqy(),minority_noncontrolling_interest(),bs_tot_cap()
PEP UW Equity,2.32709E+11,6742000000,158000000,39245000000,83644000000,44358000000,15960000000,9714000000,11288000000,-4905000000,6383000000,13259000000,23543000000,94461000000,25653000000,75326000000,19135000000,-1930000000,-9447000000,83644000000,87369983660,91440266667,95423911111,99602466667,1.03289E+11,6737000000,6415000000,39286000000,#N/A,12135000000,1472000000,2701000000,13904000000,1798000000,0,-326000000,10125000000,2003000000,9714000000,9696861111,10452457143,11419500000,12331333333,13229500000,-1930000000,-9166000000,13259000000,11787000000,9240000000,0,158000000,58380000000
CAT UN Equity,1.28749E+11,7004000000,-26388000000,36993000000,59427000000,17512000000,10123000000,6705000000,7766000000,-2599000000,5167000000,7904000000,43785000000,81943000000,31531000000,66052000000,15891000000,-2541000000,-7475000000,56574000000,61337086957,64121181818,67781750000,73572000000,74109000000,5167000000,7004000000,41915000000,51523000000,9128000000,-848000000,2219000000,11347000000,443000000,#N/A,-1291000000,8752000000,2067000000,6705000000,7864222222,8413882353,9139000000,10748500000,9286000000,-2541000000,-7281000000,7904000000,8752000000,6705000000,0,22000000,52884000000
JPM UN Equity,4.11763E+11,1.0682E+12,27404000000,6.8195E+11,1.54792E+11,#N/A,#N/A,35892000000,#N/A,#N/A,#N/A,46166000000,#N/A,3.66574E+12,#N/A,3.37341E+12,2.92332E+11,#N/A,#N/A,1.32277E+11,1.42361E+11,1.44845E+11,1.51872E+11,1.48333E+11,1.5154E+11,#N/A,27697000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,92807000000,0,46166000000,8490000000,35892000000,37107833333,37090666667,38720400000,38893000000,41699000000,#N/A,#N/A,#N/A,46166000000,35892000000,27404000000,0,9.74282E+11
CVX UN Equity,3.22067E+11,17901000000,#N/A,23339000000,2.35717E+11,69950000000,55955000000,35465000000,49600000000,-12000000000,37600000000,39655000000,#N/A,2.57709E+11,#N/A,#N/A,#N/A,-12100000000,-25200000000,2.46252E+11,2.14949E+11,2.12509E+11,2.08895E+11,1.96187E+11,1.99784E+11,37600000000,17678000000,1.65767E+11,1.96578E+11,#N/A,-10019000000,16300000000,#N/A,516000000,#N/A,-1950000000,49674000000,14066000000,35465000000,29323461538,26931080000,25787615385,23987200000,24146666667,-12100000000,-25000000000,39655000000,49674000000,36542000000,#N/A,#N/A,#N/A
KO UN Equity,2.58303E+11,13220000000,1631000000,39587000000,42343000000,24768000000,11800000000,9925000000,11462000000,-1415000000,10047000000,10506000000,24139000000,92471000000,21439000000,68035000000,24436000000,-6873000000,-5768000000,42372000000,43596337461,45832166667,48282375000,50907500000,53014000000,10047000000,10127000000,17575000000,#N/A,12117000000,-1640000000,1294000000,13411000000,743000000,377000000,-571000000,13370000000,2181000000,9925000000,10816775000,11662373016,12636055556,13276083333,14074000000,-6873000000,-5273000000,10506000000,12146000000,10803000000,0,1631000000,64023000000
DIS UN Equity,2.01343E+11,11615000000,13370000000,52259000000,82722000000,28321000000,12492000000,3145000000,6010000000,-4943000000,1067000000,6533000000,29098000000,2.03631E+11,29073000000,95253000000,1.08378E+11,-5008000000,-5344000000,82722000000,90547586207,97069896552,1.05145E+11,1.10384E+11,1.15802E+11,1059000000,11615000000,54401000000,75952000000,12121000000,1248000000,5163000000,17284000000,1549000000,152000000,667000000,9565000000,1732000000,3553000000,7147875000,9284521739,11207388889,13483800000,15648833333,-5008000000,-4741000000,6533000000,5285000000,6835000000,0,13370000000,1.60637E+11
AFMD UQ Equity,179900206.7,222895000,0,18728000,40533000,#N/A,-80716000,-75652000,-101566000,-932000,-102498000,-82181000,230550000,236399000,40828000,55296000,181103000,1161000,124558000,40545000,24358888.89,15886000,53143750,91806250,172381250,-102498000,222895000,#N/A,#N/A,-82181000,-6531000,1465000,-79661000,#N/A,#N/A,-5994000,-75650000,2000,-75662000,-110938888.9,-112816666.7,-126400000,-115820000,-34524500,1161000,116567000,-82181000,-75650000,-75652000,0,0,199831000
XOM UN Equity,4.6059E+11,29640000000,7424000000,41193000000,3.98675E+11,75148000000,1.11626E+11,55740000000,76797000000,-18407000000,58390000000,63546000000,97631000000,3.69067E+11,69045000000,1.66594E+11,2.02473E+11,-14742000000,-39192000000,4.1368E+11,3.80683E+11,3.50692E+11,3.08024E+11,3.15002E+11,3.07256E+11,58390000000,29640000000,3.23527E+11,3.35927E+11,#N/A,-14207000000,48080000000,#N/A,798000000,#N/A,-3542000000,81955000000,20176000000,55740000000,42911800000,39660500000,37575750000,37030777778,36745375000,-14742000000,-39114000000,63546000000,77753000000,59101000000,0,7424000000,2.43666E+11
GE UN Equity,89544150738,60919000000,18478000000,32350000000,76555000000,18286000000,#N/A,-64000000,5864000000,#N/A,#N/A,1719000000,66234000000,1.87788E+11,56948000000,1.50206E+11,37582000000,#N/A,#N/A,73602000000,61037750000,65271300000,69358333333,72402000000,#N/A,4758000000,17262000000,58269000000,76375000000,#N/A,307000000,#N/A,#N/A,1607000000,#N/A,-1300000000,1412000000,476000000,-64000000,1669000000,3595400000,5232500000,6510000000,#N/A,#N/A,#N/A,1719000000,1412000000,2881000000,#N/A,1216000000,69932000000
HPQ UN Equity,29906340238,3145000000,0,12294000000,62983000000,12335000000,5689000000,3203000000,4463000000,-791000000,3672000000,4676000000,19801000000,38587000000,26153000000,41505000000,-2918000000,-3549000000,-2068000000,62983000000,57114470588,58281142857,59485500000,60657000000,61273000000,3900000000,3145000000,50648000000,58307000000,5478000000,235000000,780000000,6030000000,359000000,0,-124000000,4441000000,1238000000,3203000000,2775142857,3190285714,3041000000,3201000000,3221000000,-3549000000,-2068000000,4676000000,4441000000,4289000000,0,0,9376000000
FC UN Equity,674811768.3,58152000,0,22266000,270950000,207055000,34318000,19285000,45107000,-3897000,41210000,24521000,136345000,237429000,127674000,147811000,89618000,-6782000,-31423000,270950000,300750000,#N/A,#N/A,#N/A,#N/A,41210000,58152000,63895000,#N/A,31205000,1507000,9797000,43737000,1621000,114000,0,23061000,3729000,19285000,18703333.33,24575000,#N/A,#N/A,#N/A,-6782000,-30131000,24521000,23014000,19322130,0,0,111884000
HD UN Equity,3.368E+11,2462000000,0,49713000000,1.57291E+11,52714000000,27062000000,17095000000,13206000000,-3045000000,10161000000,24112000000,33681000000,76866000000,24280000000,75568000000,1298000000,-3082000000,-12729000000,1.57291E+11,1.58717E+11,1.63184E+11,1.70349E+11,1.80961E+11,1.87725E+11,10161000000,2462000000,1.04577E+11,28602000000,24112000000,1477000000,2950000000,25735000000,1507000000,30000000,0,22635000000,5540000000,17095000000,16828478469,17241429825,18301166667,19155881818,20002587500,-3082000000,-12558000000,24112000000,22635000000,17095000000,0,0,51011000000
IBM UN Equity,1.23422E+11,8738000000,77000000,54013000000,60530000000,32687000000,12313000000,1639000000,10435000000,-1860000000,8575000000,7511000000,29118000000,1.27243E+11,31505000000,1.05222E+11,22021000000,-4202000000,-5201000000,60530000000,62510538462,64861181818,68260750000,67904333333,67059500000,9291000000,7886000000,27843000000,#N/A,22329000000,6355000000,4802000000,23545000000,1215000000,98000000,5140000000,9821000000,-626000000,1783000000,6131625000,6614142857,7704500000,7928000000,8308000000,-4202000000,-4958000000,7511000000,1156000000,8326000000,0,77000000,76034000000
GO UW Equity,3028294472,107277000,0,1416918000,3429972000,1052884000,164234000,55802000,163682000,-119168000,44514000,86457000,468577000,2751029000,287448000,1665717000,1085312000,-139657000,-72724000,3429972000,3830628571,4188000000,4775750000,5142000000,5640625000,44514000,107277000,2377088000,966427000,99343000,17415000,77777000,215882000,16141000,0,1274000,75063000,13240000,55802000,66995000,82866666.67,201550000,144416666.7,154625000,-139657000,-72724000,86457000,69042000,88381000,0,0,2502230000
JNJ UN Equity,4.30318E+11,#N/A,#N/A,#N/A,94943000000,63854000000,#N/A,17941000000,#N/A,#N/A,#N/A,23703000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,94943000000,97733666667,1.0027E+11,1.03138E+11,1.06014E+11,1.08544E+11,#N/A,#N/A,31089000000,40151000000,32010000000,1978000000,#N/A,#N/A,#N/A,214000000,2192000000,31880000000,3784000000,17941000000,23778636364,24819636364,25176125000,27196857143,28133500000,#N/A,#N/A,23703000000,21725000000,27038000000,#N/A,#N/A,#N/A
EVRG UW Equity,14142746395,24700000,6500000,11664000000,5701600000,4053300000,2316700000,798600000,1793400000,-2192400000,-399000000,1308200000,1905700000,29247600000,3671700000,19632100000,9615500000,-2205400000,395800000,5701600000,5572900000,5845000000,6010666667,5968000000,6148000000,-399000000,24700000,1648300000,4393400000,1109000000,404200000,1008500000,1882500000,384600000,#N/A,19600000,904000000,100700000,798600000,779660000,888100000,996266666.7,987250000,1071000000,-2189800000,395800000,1308200000,904000000,831800000,#N/A,6500000,21279500000
MCD UN Equity,1.93162E+11,2583800000,0,48037900000,23182600000,13452000000,9741400000,6177400000,7386700000,-1899200000,5487500000,9371000000,5424200000,50435600000,3802100000,56439000000,-6003400000,-2678100000,-6834000000,23182600000,24175105263,25766571429,27339500000,28600750000,28729500000,5487500000,2583800000,9730600000,13811600000,9371000000,1545600000,370400000,9741400000,1207000000,#N/A,338600000,7825400000,1648000000,6177400000,7693000000,8326560000,9001777778,9606666667,9649000000,-2678100000,-6580200000,9371000000,7825400000,6177400000,0,0,42034500000
RPD UQ Equity,2959426509,251584000,0,917232000,652242000,442948000,-70640000,-157957000,42650000,-17262000,25388000,-138974000,439310000,1295549000,487164000,1437833000,-142284000,-52333000,-48979000,652242000,762189542.5,902348416.3,1048692308,1220250000,#N/A,25388000,168353000,209294000,581922000,4798000,16075000,40575000,22837000,11077000,916000,5914000,-42913000,2908000,-157957000,-120400000,-112458333.3,-84512527.78,3735000,#N/A,-52333000,-42849000,-138974000,-155049000,-10053000,0,0,774948000
MRK UN Equity,2.60968E+11,#N/A,#N/A,#N/A,59283000000,41872000000,#N/A,14519000000,#N/A,#N/A,#N/A,17945000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59283000000,58177600000,61553875000,65563470588,68440000000,71557066667,#N/A,#N/A,17411000000,#N/A,22522000000,1501000000,#N/A,#N/A,962000000,157000000,-960000000,22162000000,1918000000,14519000000,15836461538,19019666667,21476444444,22905400000,24705222222,#N/A,#N/A,17945000000,16444000000,19005000000,#N/A,#N/A,#N/A
