"get(cur_mkt_cap(), px_last(), revenue_per_sh(), ebitda_per_sh(), oper_inc_per_sh(), is_eps(), is_earn_bef_xo_items_per_sh(), is_basic_eps_cont_ops(), is_diluted_eps(), is_dil_eps_bef_xo(), is_dil_eps_cont_ops(), is_div_per_shr(), cash_flow_per_sh(), free_cash_flow_per_sh(), cash_st_investments_per_sh(), book_val_per_sh(), tang_book_val_per_sh(), is_eps(fa_period_offset=1), is_dil_eps_cont_ops(fa_period_offset=1), is_div_per_shr(fa_period_offset=1), cash_flow_per_sh(fa_period_offset=1), book_val_per_sh(fa_period_offset=1), is_eps(fa_period_offset=2), is_dil_eps_cont_ops(fa_period_offset=2), is_div_per_shr(fa_period_offset=2), cash_flow_per_sh(fa_period_offset=2), book_val_per_sh(fa_period_offset=2), is_eps(fa_period_offset=3), is_dil_eps_cont_ops(fa_period_offset=3), is_div_per_shr(fa_period_offset=3), book_val_per_sh(fa_period_offset=3), is_eps(fa_period_offset=4), is_dil_eps_cont_ops(fa_period_offset=4), is_div_per_shr(fa_period_offset=4), is_eps(fa_period_offset=5), is_dil_eps_cont_ops(fa_period_offset=5), is_div_per_shr(fa_period_offset=5)) for(members('RAY Index'))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,cur_mkt_cap(),px_last(),revenue_per_sh(),ebitda_per_sh(),oper_inc_per_sh(),is_eps(),is_earn_bef_xo_items_per_sh(),is_basic_eps_cont_ops(),is_diluted_eps(),is_dil_eps_bef_xo(),is_dil_eps_cont_ops(),is_div_per_shr(),cash_flow_per_sh(),free_cash_flow_per_sh(),cash_st_investments_per_sh(),book_val_per_sh(),tang_book_val_per_sh(),is_eps(fa_period_offset=1),is_dil_eps_cont_ops(fa_period_offset=1),is_div_per_shr(fa_period_offset=1),cash_flow_per_sh(fa_period_offset=1),book_val_per_sh(fa_period_offset=1),is_eps(fa_period_offset=2),is_dil_eps_cont_ops(fa_period_offset=2),is_div_per_shr(fa_period_offset=2),cash_flow_per_sh(fa_period_offset=2),book_val_per_sh(fa_period_offset=2),is_eps(fa_period_offset=3),is_dil_eps_cont_ops(fa_period_offset=3),book_val_per_sh(fa_period_offset=3),is_eps(fa_period_offset=4),is_dil_eps_cont_ops(fa_period_offset=4)
KO UN Equity,2.65E+11,61.16999817,9.785198452,2.726905078,2.427869894,2.29,2.29,2.493187,2.29,2.29,2.486628,1.74,2.649410497,2.321797909,3.057354302,5.274051804,-2.345282146,2.491642857,2.491642857,1.776181818,2.93,5.84,2.699632353,2.699632353,1.860913462,3.195,6.16,2.902,2.902,6.405,3.088,3.088
DIS UN Equity,1.97E+11,108.1600037,45.40175631,6.856201976,3.585620198,1.73,1.75,2.563666,1.72,1.75,2.558976,0,3.298572997,0.585620198,6.521617069,53.34531162,1.27681078,4.090714286,4.088275862,1.512,4.78,54.868,5.290344828,5.288,1.623333333,6.505,59.005,6.388095238,6.388095238,62.3725,7.264444444,7.264444444
AFMD UQ Equity,191097303.9,1.279999971,0.298870183,-0.59515964,-0.605961821,-0.568669,-0.568669,-0.568656,-0.568669,-0.568669,-0.568656,0,-0.763221674,-0.755769275,1.49298369,1.21305469,1.20263907,-0.704444444,-0.704444444,#N/A,#N/A,#N/A,-0.621666667,-0.621666667,#N/A,#N/A,#N/A,-0.6,-0.6,#N/A,-0.4785,-0.4785
XOM UN Equity,4.79E+11,116.2600021,94.84087729,#N/A,#N/A,13.26,13.26,13.460066,13.26,13.26,13.46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.61769231,10.60666667,3.7,15.74294118,51.10666667,9.991363636,9.783913043,3.834761905,15.44,55.416,9.948333333,9.948333333,#N/A,9.996666667,9.996666667
GE UN Equity,87659299864,80.22499847,69.84945255,#N/A,1.568430657,-0.06,0.53,2.682482,-0.06,0.53,2.673506,0.32,5.350364964,#N/A,22.76171719,33.28183858,2.69340733,1.64,1.899166667,0.355714286,5.1,33.675,3.288333333,3.29,0.35125,5.01,36.21333333,4.23,4.208333333,41.2,5.96,5.28
HPQ UN Equity,28501871450,29.02000046,60.67726397,5.480732177,4.504816956,3.09,3.09,4.041329,3.05,3.05,3.994667,1,4.299614644,3.537572254,3.209183673,-2.97755102,-13.66530612,2.827,3.317647059,1.051,3.55,-2.57,3.436,3.648,1.1,4.228333333,-2.3475,3.432,3.77,-1.81,3.22,3.24
FC UN Equity,642691150.7,46.22000122,19.27817997,2.441736779,1.744677066,1.38,1.38,1.378025,1.35,1.35,1.347917,0,3.198645512,2.932104804,4.186307681,6.45151537,1.055071629,1.305,1.5075,#N/A,#N/A,#N/A,1.694375,1.80875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HD UN Equity,3.30E+11,323.3699951,153.0440282,26.33130625,23.4609584,16.65,16.65,16.65,16.59,16.59,16.59,7.35,12.84709042,9.886645585,2.41372549,1.27254902,-6.015686275,16.69029004,16.69899431,8.03,24.345,0.75,17.69166667,17.69166667,8.753333333,20.52,0.12,19.35111111,19.35111111,1.855714286,20.875,20.875
IBM UN Equity,1.22E+11,134.4799957,67.05439238,13.64019054,8.320593774,1.82,1.97,7.127506,1.8,1.95,7.0492,6.55,11.55976515,9.499279938,9.664582149,24.27095338,-49.9808655,7.677777778,9.478421053,6.8,14.1275,35.964,8.23625,10.046875,6.945,15.3125,41.95,9.563333333,10.52333333,36.41,8.565,11.275
GO UW Equity,2948525741,30.28000069,35.55526531,1.70245805,0.896217687,0.58,0.58,0.432523,0.56,0.56,0.416711,0,1.694929091,0.461434402,1.103345491,11.16244956,2.845791492,0.6543,1.098,2.98,1.426666667,16.54,0.863333333,1.285,3.35,2.2825,14.29,2.006666667,1.472638889,16.0225,1.51375,1.69
