Ticker,Market Cap,Actual,Predicted,Ratio
VZ UN Equity,174000000000.0,41.41500092,64.96838480214114,1.5687162467444695
BA UN Equity,127000000000.0,212.9499969,222.32419393295615,1.0440206488350325
PEP UW Equity,235000000000.0,170.5599976,148.14934094424194,0.8686054352069359
CAT UN Equity,131000000000.0,252.3099976,306.0713117391858,1.2130764323672039
KO UN Equity,265000000000.0,61.16999817,67.00681393426737,1.0954195837646756
DIS UN Equity,197000000000.0,108.1600037,98.65950750353356,0.9121625751528479
HPQ UN Equity,28501871450.0,29.02000046,63.67958363283847,2.1943343426410986
HD UN Equity,330000000000.0,323.3699951,312.30822802100425,0.9657922279536945
IBM UN Equity,122000000000.0,134.4799957,166.92933796188672,1.2412949382767324
GO UW Equity,2948525741.0,30.28000069,65.84616662521412,2.1745761269734674
EVRG UW Equity,14367635000.0,62.61000061,71.66250307619742,1.1445855674492929
RPD UQ Equity,2358774316.0,39.81999969,49.090368400208455,1.2328068503862022
MRK UN Equity,271000000000.0,107.0400009,188.9507808776615,1.765235232520084
PG UN Equity,336000000000.0,142.2200012,130.3534946778509,0.9165623230064415
T UN Equity,145000000000.0,20.29000092,73.81228025447159,3.6378648056991603
RTX UN Equity,147000000000.0,99.70999908,106.27531547340025,1.0658441124659195
WMT UN Equity,387000000000.0,143.4600067,101.64350624129132,0.708514578936593
CSCO UW Equity,199000000000.0,48.47000122,82.66764255181087,1.705542407077556
INTC UW Equity,116000000000.0,28.05999947,71.03216858742522,2.531438700252592
MSFT UW Equity,1840000000000.0,246.8899994,248.21196147579622,1.0053544577707032
SAM UN Equity,4767070533.0,386.8399963,307.95226327603416,0.7960714151108944
MO UN Equity,80522316274.0,44.93000031,101.20088409562871,2.252412272365478
APD UN Equity,71153719454.0,320.5299988,248.75003138524352,0.7760585040917035
DNB UN Equity,6370392711.0,14.61999989,42.72857822594243,2.922611391753056
ADM UN Equity,45457407284.0,82.76999664,91.12373676747488,1.1009271531544051
ADP UW Equity,93422337012.0,225.4400024,199.990973637713,0.8871139616245542
AZO UN Equity,45456837139.0,2422.340088,2820.9691174604454,1.1645636099717
AVY UN Equity,15337959729.0,189.2899933,192.70776011243808,1.0180557183866628
VRSK UW Equity,28343752917.0,181.2400055,118.03202299681898,0.6512470724727438
BALL UN Equity,18229422919.0,58.06999969,58.47444857714364,1.0069648508576328
BAX UN Equity,22982865480.0,45.59000015,71.6000942270829,1.5705219125138103
BDX UN Equity,71504764271.0,251.5399933,187.53236329818543,0.7455369654658627
BBY UN Equity,19563096903.0,88.41999817,139.37542829779517,1.5762885227595924
BSX UN Equity,66208586825.0,46.22499847,48.36707103302886,1.0463401326972257
BMY UN Equity,154000000000.0,72.51000214,131.97399996891832,1.8200799348220558
BF/B UN Equity,31754261178.0,66.29000092,55.39410287698178,0.8356328572665493
CTRA UN Equity,19723510304.0,25.01499939,49.9950927112666,1.9986045944599402
CPB UN Equity,15524398563.0,51.84000015,62.99966854503946,1.2152713804542583
CCL UN Equity,13372383517.0,10.77999973,38.20332251218291,3.5439075574246703
LUMN UN Equity,5395349684.0,5.215000153,10.984704159872589,2.106366987075444
CLX UN Equity,17783451394.0,144.1300049,137.8574930988697,0.9564801804767697
CMS UN Equity,18297461256.0,63.04000092,65.67315873720906,1.0417696348156884
CL UN Equity,62181695386.0,74.44999695,77.67327967778458,1.0432945985202566
CAG UN Equity,17708908443.0,37.15499878,51.045701829291936,1.3738582561000945
GLW UN Equity,29231242316.0,34.55500031,64.92871713921888,1.8789962829324276
CMI UN Equity,35171001162.0,249.3999939,289.9171355023092,1.1624584707029104
DHR UN Equity,192000000000.0,263.2999878,175.4263037538019,0.6662602046417638
TGT UN Equity,78998415055.0,171.6199951,205.87349204981058,1.1995891966425687
DE UN Equity,125000000000.0,422.1700134,405.95053626569404,0.9615806982507347
D UN Equity,52825482002.0,63.38000107,76.75609767202985,1.2110460141402748
DOV UN Equity,21364678440.0,152.1300049,161.51622313716024,1.0616986651865956
DUK UN Equity,78848001175.0,102.4000015,83.20835693777192,0.8125815988173781
ETN UN Equity,64491033456.0,162.1300049,153.59990157840696,0.9473872629137691
ECL UN Equity,43906243711.0,154.1499939,112.10465286112809,0.7272439656004949
EMR UN Equity,52579057709.0,90.29000092,102.3974015133451,1.134094589323049
EOG UN Equity,77576535039.0,132.0700073,166.53374252912266,1.2609505059754977
ETR UN Equity,21926381224.0,107.7600021,60.421452450537515,0.5607038908041885
EFX UN Equity,27145707836.0,221.6999969,167.1393792464122,0.7538988794925517
EQT UN Equity,11965699203.0,32.59500122,63.250456995639894,1.9404956167582526
FDX UN Equity,48793416953.0,193.3200073,360.57423404323265,1.865167703432177
M UN Equity,6390109239.0,23.56999969,63.63771208702435,2.6999453934665856
FMC UN Equity,16763545263.0,133.0599976,147.9718507109552,1.1120686410635798
NEE UN Equity,148000000000.0,74.41999817,72.65683607447154,0.9763079529846157
BEN UN Equity,15693723757.0,31.36499977,73.87167529379347,2.3552263936073823
HASI UN Equity,3272630372.0,36.77999878,68.37696901909399,1.859080241630557
GPS UN Equity,4961009470.0,13.59000015,23.270932424903815,1.7123570395916305
GD UN Equity,63865577967.0,232.6199951,259.31126799833163,1.1147419545205364
GIS UN Equity,46001426161.0,78.01999664,84.74713052301261,1.0862232013935218
GPC UN Equity,23602177122.0,167.1999969,144.99141269931778,0.8671735370069124
GWW UN Equity,29775379795.0,589.2700195,527.776988878152,0.8956454111240458
HAL UN Equity,37338882500.0,41.11999893,82.86525416879655,2.0152056499286624
